base_pwsid,resolved_pwsid,system_name,display_name,county,monitoring_end_date,year,lead_90th_ppb,above_action_level,lines_replaced,inventory_year,inventory_lead,inventory_gpcl,inventory_unknown,total_to_identify_or_replace,inventory_complete_flag
MI0000030,MI0000030,ADDISON,ADDISON,LENAWEE,2023-12-31,2023,2.0,False,,2025.0,,,,,
MI0000030,MI0000030,ADDISON,ADDISON,LENAWEE,2023-12-31,2023,2.0,False,,2025.0,,,,,
MI0000160,MI0000160,"ALPENA, CITY OF","ALPENA, CITY OF",ALPENA,2022-12-31,2022,0.0,False,14.0,2025.0,,,,,
MI0000160,MI0000160,"ALPENA, CITY OF","ALPENA, CITY OF",ALPENA,2022-12-31,2022,0.0,False,14.0,2025.0,,,,,
MI0000220,MI0000220,ANN ARBOR,ANN ARBOR,WASHTENAW,2023-12-31,2023,2.0,False,103.0,2025.0,,,,,
MI0000220,MI0000220,ANN ARBOR,ANN ARBOR,WASHTENAW,2023-12-31,2023,2.0,False,103.0,2025.0,,,,,
MI0000242,MI0000242,ARTESIAN SPRINGS RV RESORT,ARTESIAN SPRINGS RV RESORT,EMMET,2024-06-30,2024,4.0,False,,2025.0,,,,,
MI0000242,MI0000242,ARTESIAN SPRINGS RV RESORT,ARTESIAN SPRINGS RV RESORT,EMMET,2024-06-30,2024,4.0,False,,2025.0,,,,,
MI0000280,MI0000280,"AU GRES, CITY OF","AU GRES, CITY OF",ARENAC,2023-12-31,2023,4.0,False,,2025.0,,,,,
MI0000280,MI0000280,"AU GRES, CITY OF","AU GRES, CITY OF",ARENAC,2023-12-31,2023,4.0,False,,2025.0,,,,,
MI0000290,MI0000290,AU SABLE TOWNSHIP,AU SABLE TOWNSHIP,IOSCO,2022-12-31,2022,2.0,False,,2025.0,,,,,
MI0000290,MI0000290,AU SABLE TOWNSHIP,AU SABLE TOWNSHIP,IOSCO,2022-12-31,2022,2.0,False,,2025.0,,,,,
MI0000380,MI0000380,BANGOR,BANGOR,VAN BUREN,2023-12-31,2023,0.0,False,,2025.0,,,,,
